Geneid,Ctrl_R1,Ctrl_R2,Ctrl_R3,0_R1,0_R2,0_R3,2_R1,2_R2,2_R3,5_R1,5_R2,5_R3,10_R1,10_R2,10_R3,20_R1,20_R2,20_R3,30_R1,30_R2,30_R3,Entity,Symbol
gene-CPT_phageK_gp027,0,0,0,20.0,1.0,0.0,24.0,5.0,6.0,1044.0,101.0,1072.0,4250.0,1815.0,2610.0,1679.0,1917.0,2037.0,1040.0,1350.0,586.0,phage,gene-CPT_phageK_gp027
gene-CPT_phageK_gp094,0,0,0,20.0,1.0,0.0,37.0,1.0,19.0,975.0,115.0,1065.0,3255.0,1526.0,1924.0,1866.0,1543.0,1702.0,1573.0,1040.0,757.0,phage,gene-CPT_phageK_gp094
gene-CPT_phageK_gp082,1,0,0,42.0,1.0,2.0,155.0,27.0,60.0,4286.0,526.0,4630.0,16499.0,8647.0,10732.0,6611.0,7071.0,5733.0,3211.0,3336.0,1866.0,phage,gene-CPT_phageK_gp082
gene-CPT_phageK_gp047,0,0,0,2.0,0.0,0.0,42.0,7.0,10.0,800.0,128.0,1032.0,2048.0,1773.0,1351.0,439.0,584.0,354.0,236.0,207.0,143.0,phage,gene-CPT_phageK_gp047
gene-CPT_phageK_gt001,0,0,0,18.0,0.0,1.0,35.0,3.0,18.0,322.0,95.0,806.0,859.0,904.0,1075.0,2279.0,1138.0,2730.0,2350.0,1475.0,1308.0,phage,tRNA-Met
gene-CPT_phageK_gt003,0,0,0,43.0,0.0,1.0,3.0,2.0,5.0,85.0,21.0,163.0,576.0,403.0,596.0,3634.0,1866.0,2138.0,3646.0,1689.0,1115.0,phage,tRNA-Phe
gene-CPT_phageK_gp016,0,0,1,21.0,2.0,8.0,791.0,75.0,617.0,3676.0,936.0,2394.0,3732.0,2638.0,1814.0,1093.0,753.0,1719.0,674.0,459.0,958.0,phage,gene-CPT_phageK_gp016
gene-CPT_phageK_gp233,0,0,0,30.0,0.0,0.0,57.0,4.0,17.0,1960.0,204.0,2268.0,6433.0,3011.0,3841.0,3261.0,3070.0,2805.0,2200.0,1879.0,827.0,phage,gene-CPT_phageK_gp233
gene-CPT_phageK_gp022,0,1,0,36.0,1.0,2.0,6.0,0.0,2.0,419.0,40.0,804.0,3497.0,1507.0,3309.0,3242.0,2575.0,3603.0,2244.0,2254.0,1013.0,phage,gene-CPT_phageK_gp022
gene-CPT_phageK_gp115,0,0,2,164.0,3.0,0.0,18.0,6.0,2.0,64.0,34.0,200.0,612.0,686.0,786.0,2394.0,1575.0,7571.0,16556.0,11954.0,27698.0,phage,gene-CPT_phageK_gp115
gene-CPT_phageK_gp102,0,1,0,67.0,1.0,3.0,277.0,23.0,132.0,4640.0,512.0,5791.0,15584.0,7929.0,10829.0,7935.0,7660.0,8504.0,5523.0,5416.0,4227.0,phage,gene-CPT_phageK_gp102
gene-CPT_phageK_gp035,0,0,1,5.0,2.0,4.0,269.0,55.0,202.0,1553.0,612.0,1044.0,1651.0,1549.0,1254.0,442.0,544.0,979.0,247.0,314.0,581.0,phage,gene-CPT_phageK_gp035
gene-CPT_phageK_gp071,0,1,0,19.0,0.0,1.0,99.0,11.0,46.0,2615.0,346.0,3219.0,8360.0,5497.0,6016.0,3612.0,4126.0,3787.0,1738.0,1676.0,1174.0,phage,gene-CPT_phageK_gp071
gene-CPT_phageK_gp214,0,1,0,13.0,0.0,1.0,21.0,6.0,7.0,923.0,94.0,1104.0,3594.0,1882.0,2290.0,1515.0,2200.0,1757.0,927.0,1181.0,504.0,phage,gene-CPT_phageK_gp214
gene-CPT_phageK_gp095,0,0,0,53.0,2.0,1.0,88.0,11.0,34.0,1802.0,226.0,2099.0,7029.0,3261.0,4537.0,4929.0,3906.0,4386.0,4056.0,2651.0,1837.0,phage,gene-CPT_phageK_gp095
gene-CPT_phageK_gp207,0,0,0,2.0,0.0,0.0,21.0,5.0,5.0,427.0,59.0,405.0,1300.0,721.0,745.0,508.0,615.0,506.0,367.0,326.0,174.0,phage,gene-CPT_phageK_gp207
gene-CPT_phageK_gp151,0,0,0,66.0,1.0,2.0,126.0,11.0,42.0,2203.0,379.0,2656.0,5974.0,4431.0,4090.0,3682.0,3391.0,6187.0,6898.0,6178.0,5149.0,phage,gene-CPT_phageK_gp151
gene-CPT_phageK_gp004,0,0,0,4.0,0.0,0.0,83.0,8.0,32.0,1281.0,215.0,1507.0,2650.0,2273.0,1720.0,493.0,617.0,478.0,231.0,226.0,229.0,phage,gene-CPT_phageK_gp004
gene-CPT_phageK_gp200,0,0,1,15.0,0.0,0.0,105.0,6.0,50.0,1656.0,170.0,1415.0,5221.0,2200.0,2738.0,1965.0,2286.0,2364.0,1188.0,1173.0,689.0,phage,gene-CPT_phageK_gp200
gene-CPT_phageK_gp148,3,5,3,1160.0,13.0,11.0,403.0,110.0,109.0,9259.0,1878.0,21341.0,53147.0,48689.0,63181.0,88850.0,74068.0,125708.0,104328.0,113844.0,89744.0,phage,gene-CPT_phageK_gp148
gene-CPT_phageK_gp036,0,0,1,15.0,1.0,16.0,666.0,119.0,474.0,3264.0,1206.0,2254.0,3525.0,3213.0,2491.0,1748.0,1302.0,2546.0,942.0,912.0,1275.0,phage,gene-CPT_phageK_gp036
gene-CPT_phageK_gp190,0,0,0,37.0,1.0,0.0,0.0,1.0,0.0,6.0,1.0,5.0,9.0,3.0,4.0,540.0,183.0,1483.0,4916.0,1741.0,3555.0,phage,gene-CPT_phageK_gp190
gene-CPT_phageK_gp210,1,0,0,94.0,1.0,1.0,40.0,8.0,10.0,1280.0,173.0,1866.0,6077.0,3977.0,4872.0,5147.0,5742.0,6388.0,8341.0,4955.0,4130.0,phage,gene-CPT_phageK_gp210
gene-CPT_phageK_gp176,0,0,0,294.0,1.0,2.0,19.0,7.0,9.0,364.0,70.0,486.0,1580.0,1025.0,1775.0,13162.0,10680.0,29719.0,28129.0,27635.0,21341.0,phage,gene-CPT_phageK_gp176
gene-CPT_phageK_gp024,0,0,0,14.0,0.0,1.0,6.0,3.0,1.0,458.0,44.0,619.0,3561.0,1297.0,2425.0,1934.0,1927.0,2141.0,1413.0,1544.0,580.0,phage,gene-CPT_phageK_gp024
gene-CPT_phageK_gp172,0,0,0,26.0,0.0,0.0,6.0,2.0,2.0,46.0,11.0,27.0,114.0,70.0,124.0,993.0,669.0,2298.0,2844.0,2314.0,2706.0,phage,gene-CPT_phageK_gp172
gene-CPT_phageK_gp230,0,0,0,22.0,1.0,1.0,186.0,19.0,61.0,3070.0,337.0,3037.0,8252.0,4256.0,4821.0,2876.0,3449.0,2640.0,1581.0,1731.0,810.0,phage,gene-CPT_phageK_gp230
gene-CPT_phageK_gp205,0,0,0,74.0,3.0,3.0,169.0,18.0,63.0,3754.0,516.0,4475.0,15973.0,8418.0,11353.0,9003.0,11240.0,12696.0,6262.0,7509.0,4055.0,phage,gene-CPT_phageK_gp205
gene-CPT_phageK_gp045,0,0,0,5.0,0.0,5.0,279.0,26.0,178.0,1653.0,232.0,428.0,1447.0,461.0,248.0,210.0,130.0,238.0,131.0,62.0,144.0,phage,gene-CPT_phageK_gp045
gene-CPT_phageK_gp178,0,0,0,16.0,0.0,0.0,4.0,0.0,1.0,26.0,6.0,25.0,114.0,65.0,89.0,687.0,530.0,1251.0,2084.0,1205.0,1269.0,phage,gene-CPT_phageK_gp178
gene-CPT_phageK_gp138,1,1,0,47.0,2.0,1.0,265.0,18.0,94.0,6364.0,897.0,7257.0,26813.0,13073.0,19451.0,8247.0,11007.0,8748.0,3645.0,4619.0,2949.0,phage,gene-CPT_phageK_gp138
gene-CPT_phageK_gp199,0,0,1,130.0,1.0,1.0,172.0,10.0,34.0,1563.0,318.0,3173.0,3422.0,3387.0,4127.0,11480.0,6355.0,14524.0,15413.0,6559.0,7045.0,phage,gene-CPT_phageK_gp199
gene-CPT_phageK_gp145,0,0,0,57.0,0.0,1.0,6.0,5.0,5.0,379.0,50.0,704.0,3403.0,2394.0,3506.0,4592.0,4591.0,6268.0,5441.0,6371.0,4501.0,phage,gene-CPT_phageK_gp145
gene-CPT_phageK_gp220,1,0,0,37.0,2.0,2.0,324.0,25.0,130.0,4397.0,900.0,6311.0,15018.0,10562.0,11823.0,5831.0,7028.0,5305.0,2412.0,2879.0,1693.0,phage,gene-CPT_phageK_gp220
gene-CPT_phageK_gp125,3,4,1,198.0,4.0,11.0,686.0,75.0,253.0,13714.0,2338.0,21878.0,56990.0,37217.0,46422.0,28663.0,30712.0,31421.0,14765.0,17561.0,11914.0,phage,gene-CPT_phageK_gp125
gene-CPT_phageK_gp052,0,0,0,4.0,0.0,0.0,62.0,3.0,21.0,695.0,96.0,757.0,1549.0,980.0,767.0,367.0,406.0,297.0,230.0,137.0,118.0,phage,gene-CPT_phageK_gp052
gene-CPT_phageK_gp154,0,2,0,46.0,0.0,1.0,138.0,11.0,45.0,1103.0,245.0,1266.0,2181.0,1848.0,1625.0,2412.0,1751.0,4931.0,4536.0,4445.0,4378.0,phage,gene-CPT_phageK_gp154
gene-CPT_phageK_gp141,2,2,0,168.0,3.0,4.0,331.0,41.0,136.0,5325.0,988.0,7750.0,20002.0,13014.0,17446.0,13601.0,14959.0,20340.0,14870.0,16759.0,10328.0,phage,gene-CPT_phageK_gp141
gene-CPT_phageK_gp064,1,1,0,117.0,0.0,4.0,291.0,36.0,117.0,6714.0,1146.0,11676.0,24537.0,20434.0,22649.0,16629.0,18380.0,17248.0,8225.0,10183.0,5168.0,phage,gene-CPT_phageK_gp064
gene-CPT_phageK_gp017,0,0,1,6.0,0.0,4.0,298.0,46.0,265.0,1464.0,515.0,823.0,1306.0,1149.0,813.0,293.0,308.0,635.0,192.0,216.0,419.0,phage,gene-CPT_phageK_gp017
gene-CPT_phageK_gp127,0,0,0,60.0,1.0,1.0,49.0,4.0,28.0,478.0,72.0,642.0,1180.0,848.0,1239.0,3815.0,2876.0,6628.0,6127.0,5743.0,2858.0,phage,gene-CPT_phageK_gp127
gene-CPT_phageK_gp196,1,0,1,30.0,0.0,1.0,118.0,18.0,42.0,1697.0,293.0,2806.0,5970.0,4462.0,5336.0,3907.0,4661.0,5127.0,2754.0,2734.0,1671.0,phage,gene-CPT_phageK_gp196
gene-CPT_phageK_gp077,0,0,0,1.0,0.0,1.0,69.0,3.0,31.0,829.0,194.0,924.0,1520.0,1359.0,960.0,356.0,455.0,415.0,180.0,154.0,213.0,phage,gene-CPT_phageK_gp077
gene-CPT_phageK_gp091,0,0,0,8.0,0.0,0.0,175.0,22.0,97.0,3483.0,454.0,3579.0,8022.0,5272.0,4678.0,1528.0,2136.0,1994.0,946.0,905.0,1042.0,phage,gene-CPT_phageK_gp091
gene-CPT_phageK_gp222,0,0,0,11.0,0.0,0.0,59.0,2.0,14.0,1596.0,229.0,1670.0,6040.0,3286.0,3721.0,1936.0,2798.0,1785.0,912.0,1331.0,482.0,phage,gene-CPT_phageK_gp222
gene-CPT_phageK_gp161,0,1,0,33.0,2.0,3.0,289.0,20.0,101.0,4845.0,449.0,4453.0,13663.0,4698.0,5216.0,5941.0,3895.0,4160.0,3492.0,1822.0,1703.0,phage,gene-CPT_phageK_gp161
gene-CPT_phageK_gp170,0,0,0,111.0,2.0,0.0,16.0,2.0,2.0,163.0,31.0,134.0,565.0,407.0,479.0,4147.0,3017.0,9045.0,10942.0,9351.0,9957.0,phage,gene-CPT_phageK_gp170
gene-CPT_phageK_gp107,1,1,0,38.0,0.0,0.0,59.0,12.0,21.0,1393.0,280.0,2156.0,5601.0,4060.0,5280.0,3178.0,3759.0,4317.0,2379.0,2953.0,2193.0,phage,gene-CPT_phageK_gp107
gene-CPT_phageK_gp103,1,1,0,28.0,0.0,2.0,27.0,4.0,4.0,637.0,108.0,899.0,3062.0,1995.0,2845.0,2578.0,2817.0,3808.0,3605.0,3633.0,3296.0,phage,gene-CPT_phageK_gp103
gene-CPT_phageK_gp049,0,0,0,2.0,0.0,1.0,62.0,6.0,22.0,1006.0,185.0,1261.0,2118.0,1897.0,1396.0,417.0,598.0,376.0,196.0,158.0,244.0,phage,gene-CPT_phageK_gp049
gene-CPT_phageK_gp219,0,0,0,16.0,0.0,1.0,210.0,17.0,100.0,2372.0,438.0,3189.0,6875.0,4729.0,5089.0,1762.0,2210.0,1842.0,689.0,767.0,643.0,phage,gene-CPT_phageK_gp219
gene-CPT_phageK_gp005,0,1,0,2.0,0.0,0.0,58.0,7.0,31.0,1046.0,190.0,1249.0,2073.0,1957.0,1371.0,424.0,568.0,376.0,193.0,168.0,181.0,phage,gene-CPT_phageK_gp005
gene-CPT_phageK_gp037,0,0,0,5.0,0.0,10.0,293.0,39.0,262.0,1510.0,467.0,832.0,1313.0,1110.0,745.0,293.0,331.0,675.0,206.0,183.0,427.0,phage,gene-CPT_phageK_gp037
gene-CPT_phageK_gp131,0,1,1,256.0,3.0,1.0,148.0,27.0,58.0,4833.0,934.0,8417.0,25829.0,19992.0,25220.0,22823.0,26660.0,26673.0,21939.0,23752.0,11687.0,phage,gene-CPT_phageK_gp131
gene-CPT_phageK_gp073,2,0,0,4.0,1.0,1.0,45.0,9.0,22.0,949.0,156.0,1196.0,2596.0,1910.0,1974.0,901.0,948.0,934.0,425.0,417.0,364.0,phage,gene-CPT_phageK_gp073
gene-CPT_phageK_gp062,0,0,0,4.0,1.0,1.0,132.0,12.0,66.0,2167.0,309.0,1955.0,4360.0,2749.0,2751.0,793.0,1125.0,830.0,333.0,386.0,279.0,phage,gene-CPT_phageK_gp062
gene-CPT_phageK_gp054,0,1,0,9.0,0.0,0.0,64.0,9.0,19.0,1596.0,229.0,1670.0,4282.0,2655.0,2418.0,776.0,1105.0,655.0,373.0,339.0,223.0,phage,gene-CPT_phageK_gp054
gene-CPT_phageK_gp132,1,0,0,56.0,0.0,2.0,34.0,9.0,19.0,1456.0,242.0,2119.0,6841.0,4317.0,5774.0,4842.0,5307.0,5837.0,4964.0,4622.0,2786.0,phage,gene-CPT_phageK_gp132
gene-CPT_phageK_gp192,0,0,0,154.0,0.0,1.0,21.0,3.0,6.0,376.0,49.0,576.0,3293.0,1212.0,2230.0,13478.0,6440.0,9193.0,13944.0,6122.0,3151.0,phage,gene-CPT_phageK_gp192
gene-CPT_phageK_gp042,0,0,0,1.0,0.0,3.0,106.0,11.0,84.0,738.0,82.0,161.0,512.0,134.0,111.0,41.0,61.0,72.0,36.0,26.0,50.0,phage,gene-CPT_phageK_gp042
gene-CPT_phageK_gp217,0,0,0,61.0,0.0,0.0,51.0,4.0,15.0,1473.0,142.0,2031.0,6195.0,2931.0,4053.0,5437.0,4949.0,6533.0,5658.0,3833.0,1854.0,phage,gene-CPT_phageK_gp217
gene-CPT_phageK_gp122,0,1,1,56.0,0.0,2.0,157.0,29.0,79.0,2479.0,434.0,4086.0,9646.0,6602.0,10055.0,7152.0,6144.0,7935.0,4775.0,4600.0,3287.0,phage,gene-CPT_phageK_gp122
gene-CPT_phageK_gp074,1,1,0,5.0,1.0,0.0,38.0,9.0,8.0,858.0,122.0,912.0,2113.0,1485.0,1312.0,570.0,656.0,520.0,277.0,241.0,232.0,phage,gene-CPT_phageK_gp074
gene-CPT_phageK_gp031,0,0,0,101.0,1.0,0.0,14.0,1.0,2.0,250.0,39.0,570.0,1446.0,902.0,1179.0,3734.0,2276.0,6329.0,11702.0,5144.0,7329.0,phage,gene-CPT_phageK_gp031
gene-CPT_phageK_gp221,1,2,0,27.0,1.0,1.0,165.0,20.0,59.0,4319.0,743.0,5080.0,15495.0,9730.0,10302.0,5026.0,6964.0,4449.0,2244.0,2891.0,1348.0,phage,gene-CPT_phageK_gp221
gene-CPT_phageK_gp023,0,0,0,18.0,0.0,1.0,5.0,2.0,1.0,395.0,34.0,686.0,2914.0,1163.0,2635.0,2208.0,1721.0,2813.0,1475.0,1649.0,760.0,phage,gene-CPT_phageK_gp023
gene-CPT_phageK_gp216,1,0,0,158.0,1.0,2.0,151.0,19.0,46.0,2976.0,358.0,4169.0,13480.0,5962.0,9323.0,14905.0,11326.0,16997.0,13468.0,9909.0,4942.0,phage,gene-CPT_phageK_gp216
gene-CPT_phageK_gp053,0,0,0,2.0,0.0,0.0,92.0,7.0,46.0,1084.0,166.0,1181.0,2112.0,1499.0,1067.0,377.0,486.0,381.0,223.0,147.0,171.0,phage,gene-CPT_phageK_gp053
gene-CPT_phageK_gp040,0,0,0,3.0,0.0,1.0,122.0,13.0,62.0,534.0,91.0,246.0,477.0,266.0,130.0,72.0,58.0,118.0,53.0,28.0,65.0,phage,gene-CPT_phageK_gp040
gene-CPT_phageK_gp226,0,0,0,21.0,0.0,1.0,4.0,0.0,2.0,100.0,28.0,164.0,362.0,360.0,259.0,523.0,429.0,1071.0,2841.0,1408.0,2348.0,phage,gene-CPT_phageK_gp226
gene-CPT_phageK_gp048,0,0,0,0.0,0.0,0.0,52.0,3.0,11.0,750.0,138.0,924.0,1685.0,1638.0,1191.0,326.0,436.0,287.0,158.0,154.0,127.0,phage,gene-CPT_phageK_gp048
gene-CPT_phageK_gp179,0,1,0,442.0,5.0,6.0,46.0,13.0,18.0,879.0,189.0,1568.0,6952.0,4486.0,8644.0,31629.0,28123.0,61572.0,40223.0,47250.0,25671.0,phage,gene-CPT_phageK_gp179
gene-CPT_phageK_gp038,0,0,0,23.0,5.0,13.0,792.0,74.0,554.0,3691.0,970.0,2291.0,3740.0,2772.0,1740.0,1101.0,825.0,1577.0,675.0,466.0,976.0,phage,gene-CPT_phageK_gp038
gene-CPT_phageK_gp072,1,1,0,20.0,1.0,2.0,160.0,17.0,56.0,2729.0,393.0,3664.0,8151.0,6236.0,6777.0,3347.0,3677.0,3630.0,1494.0,1468.0,1175.0,phage,gene-CPT_phageK_gp072
gene-CPT_phageK_gp011,0,0,1,17.0,2.0,10.0,401.0,56.0,402.0,1934.0,446.0,1001.0,1615.0,976.0,741.0,531.0,381.0,662.0,364.0,243.0,400.0,phage,gene-CPT_phageK_gp011
gene-CPT_phageK_gp007,0,0,0,2.0,0.0,1.0,42.0,5.0,13.0,883.0,148.0,1009.0,1981.0,1868.0,1331.0,424.0,593.0,316.0,207.0,203.0,107.0,phage,gene-CPT_phageK_gp007
gene-CPT_phageK_gp086,1,2,1,23.0,1.0,2.0,188.0,23.0,65.0,3921.0,669.0,5136.0,12259.0,8138.0,8903.0,3677.0,4715.0,4423.0,1818.0,2160.0,2008.0,phage,gene-CPT_phageK_gp086
gene-CPT_phageK_gp085,0,0,0,12.0,0.0,0.0,36.0,3.0,17.0,1421.0,197.0,1601.0,5036.0,2583.0,2811.0,1635.0,1968.0,1619.0,841.0,812.0,695.0,phage,gene-CPT_phageK_gp085
gene-CPT_phageK_gp147,0,0,0,14.0,0.0,0.0,6.0,2.0,2.0,237.0,31.0,440.0,1659.0,1081.0,1353.0,1505.0,1670.0,2032.0,1916.0,1885.0,1280.0,phage,gene-CPT_phageK_gp147
